symbol,name,ml_score_raw,ml_score,sector,water_vulnerability,w_stress_weighted,pct_ops_high_stress
OSCX,Defiance Daily Target 2x Long OSCR ETF,0.6499777208869664,50.0,,0.3,2.5,0.0
PASW,Ping An Biomedical Co Ltd,0.6499777208869664,50.0,,0.3,2.5,0.0
PBT,Permian Basin Royalty Trust,0.6499777208869664,50.0,,0.3,2.5,0.0
PBR-A,Petroleo Brasileiro S.A. Petrobras,0.6499777208869664,50.0,,0.3,2.5,0.0
PBR,Petroleo Brasileiro S.A. Petrobras,0.6499777208869664,50.0,,0.3,2.5,0.0
PBOT,Pictet AI & Automation ETF,0.6499777208869664,50.0,,0.3,2.5,0.0
PBMWW,Psyence Biomedical Ltd - Warrants (25/01/2029),0.6499777208869664,50.0,,0.3,2.5,0.0
PBM,Psyence Biomedical Ltd,0.6499777208869664,50.0,,0.3,2.5,0.0
PBI-P-B,Pitney Bowes Inc,0.6499777208869664,50.0,,0.3,2.5,0.0
PBI,Pitney Bowes Inc,0.6499777208869664,50.0,,0.3,2.5,0.0
PBHC,Pathfinder Bancorp Inc,0.6499777208869664,50.0,,0.3,2.5,0.0
PBH,Prestige Consumer Healthcare Inc,0.6499777208869664,50.0,,0.3,2.5,0.0
PBFS,Pioneer Bancorp Inc,0.6499777208869664,50.0,,0.3,2.5,0.0
PBF,PBF Energy Inc - Class A,0.6499777208869664,50.0,,0.3,2.5,0.0
PBBK,PB Bankshares Inc,0.6499777208869664,50.0,,0.3,2.5,0.0
PBA,Pembina Pipeline Corporation,0.6499777208869664,50.0,,0.3,2.5,0.0
PB,Prosperity Bancshares Inc,0.6499777208869664,50.0,,0.3,2.5,0.0
PAYX,Paychex Inc,0.6499777208869664,50.0,,0.3,2.5,0.0
PAYS,PaySign Inc,0.6499777208869664,50.0,,0.3,2.5,0.0
PAYR,Federated Hermes Enhanced Income ETF,0.6499777208869664,50.0,,0.3,2.5,0.0
PAYO,Payoneer Global Inc,0.6499777208869664,50.0,,0.3,2.5,0.0
PAYC,Paycom Software Inc,0.6499777208869664,50.0,,0.3,2.5,0.0
PAY,Paymentus Holdings Inc - Class A,0.6499777208869664,50.0,,0.3,2.5,0.0
PAXS,PIMCO Access Income Fund,0.6499777208869664,50.0,,0.3,2.5,0.0
PAX,Patria Investments Ltd - Class A,0.6499777208869664,50.0,,0.3,2.5,0.0
PAVS,Paranovus Entertainment Technology Ltd - Class A,0.6499777208869664,50.0,,0.3,2.5,0.0
